trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20220729,533332.0322206018,15,834891.0944761145,0.0804335907828023,1202081.960845832,1831317.1396962912
20220801,20132.297075742594,16,842213.6794813334,0.8134858191046479,1207436.8600979708,1839024.6551440256
20220802,195992.98715790457,12,828564.2949911734,0.21252376868662892,1183898.9985258856,1801872.7690862599
20220803,397190.8276108438,9,815839.647586987,0.24693545932505723,1172354.5085418085,1774125.7919529353
20220804,410009.5551281104,8,819182.9631139414,0.015668555295750997,1182317.2183915083,1791676.8222296021
20220805,428565.09244447615,7,822592.7504991703,0.02258674283633064,1198279.554307727,1809587.4334792148
20220808,428565.09244447615,7,819896.246896085,0.0,1195732.3270452432,1800976.6893426026
20220809,428565.09244447615,7,818131.2793422514,0.0,1198100.716555942,1804354.2258112894
20220810,445303.71496587223,6,813979.6701899312,0.02059069982897459,1184681.1398410327,1782071.5727605203
20220811,445303.71496587223,6,820091.2672685393,0.0,1208839.0818255357,1816770.7116706537
20220812,445303.71496587223,6,815904.9928291943,0.0,1208149.9050090194,1817689.4909036413
20220815,445303.71496587223,6,821112.5353893382,0.0,1206572.3623262076,1821623.1268190262
20220816,445303.71496587223,6,826830.6019634742,0.0,1204311.696329116,1817562.0339423362
20220817,445303.71496587223,6,836606.0882710001,0.0,1215588.9674287564,1836947.5769599976
20220818,445303.71496587223,6,830376.0957625526,0.0,1204963.9179557886,1818548.695793134
20220819,445303.71496587223,6,833295.4245306877,0.0,1196596.8824694091,1811217.9938411901
20220822,445303.71496587223,6,841288.1709299097,0.0,1205337.7649581896,1833335.5330153855
20220823,445303.71496587223,6,843169.8691562855,0.0,1199481.9528090872,1823788.614691282
20220824,445303.71496587223,6,831770.4056260563,0.0,1176806.4558698821,1792673.2494760167
20220825,455387.97674267576,5,830673.9475143319,0.012155657959316857,1186555.5059168371,1803702.6121568542
20220826,455387.97674267576,5,826966.6217643601,0.0,1184049.327164757,1806298.281272986
20220829,1237.6419221377728,9,839721.220896547,0.5406724509077255,1178853.404411827,1792255.2692550407
20220830,286830.66844945366,7,835387.8794343328,0.34231377756631626,1174896.4894356872,1785375.1809678918
20220831,286830.66844945366,7,822687.0362727714,0.0,1175774.6796529857,1785577.30863108
20220901,496667.4819058294,5,818694.2591330995,0.2566403196990497,1165656.4812744132,1768519.1061280894
20220902,496667.4819058294,5,819074.0704648017,0.0,1159854.8047310254,1753467.9608408655
20220905,496667.4819058294,5,822430.2372598248,0.0,1157494.8901234574,1750689.5565648668
20220906,496667.4819058294,5,831109.9906556666,0.0,1168118.4406339666,1767076.0688899944
20220907,496667.4819058294,5,827144.6532082289,0.0,1168897.5551979954,1762472.5044282246
20220908,496667.4819058294,5,826116.5464930341,0.0,1163910.8818390379,1758162.1953828314
20220909,496667.4819058294,5,823218.1643808313,0.0,1180083.3895876647,1791408.4987228296
20220913,496667.4819058294,5,829605.0402164647,0.0,1185078.1342829375,1800737.766455581
20220914,496667.4819058294,5,825515.7013347542,0.0,1171888.561826811,1779209.379734614
20220915,496667.4819058294,5,817962.583714018,0.0,1160865.307211491,1764804.5077951693
20220916,514455.2769697226,4,811545.9859625731,0.021946937827380185,1133642.9959163074,1723423.817152884
20220919,639313.5798110975,2,814435.9193652152,0.1535060364450951,1132293.2090485906,1730744.189845302
20220920,639313.5798110975,2,810637.78620672,0.0,1133687.2441350354,1734696.4290933688
20220921,639313.5798110975,2,804843.8439990161,0.0,1125298.444866806,1716975.3818076125
20220922,786389.8253497852,1,803774.7525502394,0.18322010373308562,1115384.8836900257,1699713.5932644166
20220923,786389.8253497852,1,803804.5212611991,0.0,1111544.4265664346,1694667.6317420506
20220926,786389.8253497852,1,803943.4419123443,0.0,1105968.315046856,1694630.7192949576
20220927,320.5303573404817,8,811802.9472886743,0.9680102142441795,1122000.7851104138,1720847.928388549
20220928,320.5303573404817,8,806468.5051527448,0.0,1103671.5874721562,1693248.4018976367
20220929,320.5303573404817,8,804155.1196348071,0.0,1103220.0538577212,1697427.5719487546
20220930,320.5303573404817,8,816015.8842660701,0.0,1096803.8891849339,1690481.1404625135
20221010,320.5303573404817,8,808212.5607536277,0.0,1072604.6392542177,1657397.8022130479
20221011,320.5303573404817,8,802710.7728407444,0.0,1074550.4654826133,1663484.256516643
20221012,320.5303573404817,8,810774.2378869418,0.0,1090871.7740814516,1684472.4124863795
20221013,109518.85870015509,7,795017.9782021121,0.137532073428482,1081753.037748314,1666578.5454009057
20221014,109518.85870015509,7,802131.353802724,0.0,1107638.0727470694,1706146.6193991129
20221017,109518.85870015509,7,794570.0613383858,0.0,1108774.4304216506,1702752.7072491671
20221018,109518.85870015509,7,790490.2850026016,0.0,1106426.47868755,1700911.0098975436
20221019,109518.85870015509,7,772553.6022629633,0.0,1088631.1422941424,1668852.3906546936
20221020,310359.4938324074,5,767806.9299183381,0.2619174951205605,1082402.78032169,1653589.0140526253
20221021,310359.4938324074,5,770768.6328090535,0.0,1078933.8352782081,1646445.248218886
20221024,310359.4938324074,5,758434.3376742864,0.0,1047363.4951100097,1591024.5575433087
20221025,535913.1887011202,2,755861.8832797562,0.29879439795799767,1045657.2434391711,1591625.3504909063
20221026,645854.1504962599,1,753092.8698898165,0.1461759571613787,1054146.1272777095,1590887.1689770347
20221027,752899.9099000756,0,752899.9099000756,0.14236301349549277,1046721.1032179206,1576015.2634226335
20221028,752899.9099000756,0,752899.9099000756,0.0,1020830.7641981579,1540546.870730422
20221031,752899.9099000756,0,752899.9099000756,0.0,1011425.8989926452,1517237.7783109765
20221101,4825.327188535521,6,774172.9587843546,0.965998901353464,1047594.0758928152,1573281.1301664696
20221102,4825.327188535521,6,782276.9925613693,0.0,1060171.4951418338,1591217.7135092504
20221103,4825.327188535521,6,778023.8293882748,0.0,1051550.0107781165,1576273.6667783707
20221104,4825.327188535521,6,789465.3553327175,0.0,1085933.3269569776,1632868.1172415162
20221107,4825.327188535521,6,785604.0446627003,0.0,1088274.7351434226,1639235.256837377
20221108,4825.327188535521,6,770006.2075854337,0.0,1080787.9941870235,1626445.272816894
20221109,4825.327188535521,6,757474.1483970841,0.0,1070683.055860969,1612313.5441360832
20221110,4825.327188535521,6,746023.6266654797,0.0,1062443.9798813872,1599351.676733106
20221111,4825.327188535521,6,754747.8044892745,0.0,1092062.9591905742,1653817.6069386897
20221114,4825.327188535521,6,756091.2584897536,0.0,1093670.999994177,1654669.457736748
20221115,4825.327188535521,6,762450.9349264973,0.0,1114413.0371452698,1679150.7156026054
20221116,4825.327188535521,6,757628.3816295727,0.0,1105308.944522304,1661497.369804934
20221117,4825.327188535521,6,746772.6501080199,0.0,1100775.764959458,1652196.7814651139
20221118,123461.94367352113,5,756100.3324292401,0.15711016084548407,1095847.8105721937,1646298.1678376438
20221121,123461.94367352113,5,757839.5223952907,0.0,1086496.100881557,1634141.084042986
20221122,123461.94367352113,5,744605.1160095029,0.0,1086624.6080861762,1633706.0114341432
20221123,230906.53214178994,4,738830.7203770333,0.14561447606847425,1087764.9726027136,1635557.6964669293
20221124,230906.53214178994,4,737389.6672008659,0.0,1082945.0876434701,1630601.41284803
